"review_useful","review_votes","Y1","Y2","Y3","Y4"
0,1,0,0,"FALSE","FALSE"
2,4,0.693147180559945,0.5,"TRUE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
5,7,1.51982575374441,0.714285714285714,"TRUE","TRUE"
1,2,0.405465108108164,0.5,"TRUE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
100,105,4.5668252796802,0.952380952380952,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,2,0.405465108108164,0.5,"TRUE","FALSE"
1,2,0.405465108108164,0.5,"TRUE","FALSE"
15,15,2.77258872223978,1,"TRUE","TRUE"
8,9,2.09323486381217,0.888888888888889,"TRUE","TRUE"
1,2,0.405465108108164,0.5,"TRUE","FALSE"
6,8,1.70474809223843,0.75,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
5,6,1.64222773525709,0.833333333333333,"TRUE","TRUE"
6,6,1.94591014905531,1,"TRUE","TRUE"
3,5,1.02961941718116,0.6,"TRUE","FALSE"
0,1,0,0,"FALSE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
10,10,2.39789527279837,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
4,4,1.6094379124341,1,"TRUE","TRUE"
4,4,1.6094379124341,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
3,3,1.38629436111989,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,2,0.405465108108164,0.5,"TRUE","FALSE"
4,4,1.6094379124341,1,"TRUE","TRUE"
3,3,1.38629436111989,1,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
3,3,1.38629436111989,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
2,3,0.847297860387203,0.666666666666667,"TRUE","TRUE"
3,3,1.38629436111989,1,"TRUE","TRUE"
3,5,1.02961941718116,0.6,"TRUE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,3,0.287682072451781,0.333333333333333,"TRUE","FALSE"
0,2,0,0,"FALSE","FALSE"
3,3,1.38629436111989,1,"TRUE","TRUE"
1,3,0.287682072451781,0.333333333333333,"TRUE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
8,8,2.19722457733622,1,"TRUE","TRUE"
5,5,1.79175946922805,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
0,3,0,0,"FALSE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
6,6,1.94591014905531,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
2,3,0.847297860387203,0.666666666666667,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,6,0.154150679827258,0.166666666666667,"TRUE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
0,1,0,0,"FALSE","FALSE"
0,2,0,0,"FALSE","FALSE"
3,7,0.826678573184468,0.428571428571429,"TRUE","FALSE"
3,3,1.38629436111989,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
0,2,0,0,"FALSE","FALSE"
0,1,0,0,"FALSE","FALSE"
3,3,1.38629436111989,1,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
1,2,0.405465108108164,0.5,"TRUE","FALSE"
0,1,0,0,"FALSE","FALSE"
0,5,0,0,"FALSE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
6,6,1.94591014905531,1,"TRUE","TRUE"
3,5,1.02961941718116,0.6,"TRUE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
3,3,1.38629436111989,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
3,3,1.38629436111989,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
2,2,1.09861228866811,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
3,5,1.02961941718116,0.6,"TRUE","FALSE"
6,6,1.94591014905531,1,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
38,43,3.54331583076659,0.883720930232558,"TRUE","TRUE"
3,6,0.916290731874155,0.5,"TRUE","FALSE"
1,1,0.693147180559945,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
71,73,4.24927771470274,0.972602739726027,"TRUE","TRUE"
2,2,1.09861228866811,1,"TRUE","TRUE"
0,1,0,0,"FALSE","FALSE"
9,9,2.30258509299405,1,"TRUE","TRUE"
2,2,1.09861228866811,1,"TRUE","TRUE"
1,1,0.693147180559945,1,"TRUE","TRUE"
2,2,1.09861228866811,1,"TRUE","TRUE"
