"prev_help_ratio","num_prev_review","period","avg_prod_rating","rating","extremity","is_moderate","same_rating_reviews","alternative_avg_ratings","alternative_extremity","stddev_ratings","reviews_per_product","num_of_chars","num_of_words","num_of_sents","num_of_sylb","pct_difficult_words","num_of_digits","num_unique_words","num_stop_words","pct_caps_lock_words","pct_uppercase","words_entropy","chars_entropy","length_entropy","FOG","FK","ARI","CLI","FRE","SMOG","DC","text_errors","avg_sentence_length","num_excl_marks","num_ques_marks","num_punctuation","num_commas","l1","l2","l2_plus","l2_l9","l10_plus","pct_adverbs","pct_adjectives","pct_nouns","pct_verbs","pct_wh_words","pct_compar_words","pct_open_class_words","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","polarity","subjectivity_2","senti_diffs_per_ref","subjectivity","sentiment","help_vote","vote","hf_ratio","rank","is_top","hof","top10","top50","top500","top1000","vine"
0,0,389,4.2,4,0.2,FALSE,25,3.54700854700855,0.452991452991453,1.50571169159377,117,4.55387689160054,3.13549421592915,0,1.39130434782609,0.260869565217391,0,0.956521739130435,0.521739130434783,0,0.021505376344086,4.43660543431788,4.12373174985484,2.70294008732105,10.9391304347826,9.79739130434783,9.11478260869565,6.68784480582609,65.7856521739131,8.84184627477888,8.89643043478261,0,23,0,0,2,1,0.0434782608695652,0.260869565217391,0.695652173913043,0.956521739130435,0,0.173913043478261,0.0869565217391304,0.130434782608696,0.217391304347826,0,0.0434782608695652,0.608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,-0.2,0,0,0,25424106,FALSE,0,0,0,0,0,0
0,0,602,4.4,1,3.4,FALSE,120,3.85297691373025,2.85297691373025,1.46209620480953,823,5.17614973257383,3.71357206670431,1.09861228866811,1.36585365853659,0.292682926829268,0,0.731707317073171,0.609756097560976,0,0.028735632183908,4.73536237036621,4.118394548632,2.44631236267232,8.39349593495935,5.85707317073171,5.39211382113821,6.98778980763902,77.4121138211382,8.84184627477888,8.93583008130081,0,13.6666666666667,0,0,1,0,0.0487804878048781,0.024390243902439,0.926829268292683,0.951219512195122,0,0.0731707317073171,0.024390243902439,0.292682926829268,0.292682926829268,0.024390243902439,0,0.682926829268293,0,0.024390243902439,0,0,0,0,0.0731707317073171,0,0,0.0487804878048781,1,0.0731707317073171,0.0731707317073171,0.45,-0.05,3,3,1,1313516,FALSE,0,0,0,0,0,0
0,0,570,3.6,1,2.6,FALSE,64,2.56578947368421,1.56578947368421,1.58499191562724,152,5.59471137960184,4.12713438504509,1.38629436111989,1.41935483870968,0.274193548387097,0,0.774193548387097,0.5,0,0.0381679389312977,5.45814973777133,4.18066664820217,2.95082976646056,10.7161290322581,7.2033870967742,6.22354838709677,7.13745424174193,71.0250806451613,10.6863529731378,8.73481612903226,0.0161290322580645,15.5,0,0,2.25,0.75,0.0967741935483871,0.129032258064516,0.774193548387097,0.903225806451613,0,0.0806451612903226,0.0967741935483871,0.290322580645161,0.129032258064516,0,0,0.596774193548387,0,0.0483870967741935,0,0,0.0483870967741935,0,0.0806451612903226,0,0,0.0645161290322581,1,0.0806451612903226,0.0806451612903226,0.371768707482993,0.174149659863946,1,1,1,2973864,FALSE,0,0,0,0,0,0
0,0,539,4.3,1,3.3,FALSE,23,3.68571428571429,2.68571428571429,1.49861189626327,140,5.92157841964382,4.45434729625351,1.6094379124341,1.43023255813953,0.348837209302326,0,0.720930232558139,0.558139534883721,0.0116279069767442,0.0354223433242507,5.73999091739217,4.11039980199629,3.15128965412666,10.6009302325581,7.99474418604651,7.26965116279069,7.57093035806511,68.3793255813954,10.3552159691774,9.99775953488372,0,17.2,0,0,1.2,0.2,0.116279069767442,0.162790697674419,0.720930232558139,0.848837209302326,0.0348837209302326,0.0697674418604651,0.0581395348837209,0.22093023255814,0.255813953488372,0,0.0116279069767442,0.604651162790698,0.0116279069767442,0.0116279069767442,0.0232558139534884,0.0348837209302326,0,0.0697674418604651,0.0465116279069767,0.0116279069767442,0,0.0232558139534884,-0.2,0.116279069767442,-0.0232558139534884,0.425108225108225,0.167532467532468,36,57,0.631578947368421,34835230,FALSE,0,0,0,0,0,0
0,0,642,4.3,4,0.3,FALSE,28,3.68571428571429,0.314285714285715,1.49861189626327,140,6.74758652682932,5.19849703126583,2.19722457733622,1.49171270718232,0.342541436464088,0.00938967136150235,0.668508287292818,0.43646408839779,0,0.0373493975903614,6.5250481146049,4.29696168462656,3.11711619318183,11.8013505217925,9.85554327808472,10.223898096992,9.69086097085304,60.2233271945979,10.9805187677557,10.0427403928791,0.0110497237569061,20.1111111111111,0,0,2.44444444444444,0.333333333333333,0.0607734806629834,0.116022099447514,0.823204419889503,0.889502762430939,0.0497237569060773,0.0883977900552486,0.160220994475138,0.276243093922652,0.12707182320442,0.00552486187845304,0.0110497237569061,0.651933701657459,0.0110497237569061,0.0220994475138122,0,0.00552486187845304,0.0165745856353591,0.0220994475138122,0.0662983425414365,0.00552486187845304,0.0110497237569061,0.0276243093922652,0.5,0.0883977900552486,0.0441988950276243,0.545,0.106166666666667,8,10,0.8,7997785,FALSE,0,0,0,0,0,0
0,0,115,3.9,1,2.9,FALSE,2,3,2,2.3094010767585,4,5.01063529409626,3.40119738166216,0.693147180559945,1.66666666666667,0.333333333333333,0,0.866666666666667,0.466666666666667,0,0.0204081632653061,4.61506101220307,4.15480202785771,2.96420143102539,14,9.92666666666667,9.149,11.0379838543467,50.61,13.0238667986669,9.64383333333333,0,15,0,0,2,0.5,0,0.233333333333333,0.766666666666667,0.866666666666667,0.133333333333333,0,0.0666666666666667,0.3,0.233333333333333,0,0,0.6,0.0666666666666667,0,0.0666666666666667,0.0333333333333333,0,0.1,0.0666666666666667,0.0333333333333333,0,0,-0.2,0.166666666666667,-0.0333333333333333,1,-1,1,1,1,1900888,FALSE,0,0,0,0,0,0
0,0,342,4.4,5,0.6,FALSE,420,3.85297691373025,1.14702308626975,1.46209620480953,823,5.37527840768417,3.91202300542815,1.6094379124341,1.4,0.32,0.00925925925925926,0.78,0.48,0,0.0334928229665072,5.03572875064339,4.14082205901588,2.96396924986454,7.2,4.83,3.2578,5.8182478416,78.245,8.23873560344571,9.1853,0.02,10,0,0,1,0,0.18,0.06,0.76,0.8,0.02,0.1,0.06,0.26,0.12,0.04,0,0.54,0,0,0,0.02,0.02,0.04,0.02,0.02,0,0,-0.333333333333333,0.06,-0.02,0.634090909090909,0.347727272727273,6,6,1,1212121,FALSE,0,0,0,0,0,0
0,0,207,3.8,1,2.8,FALSE,6,3.81538461538462,2.81538461538462,1.28564560256107,65,2.19722457733622,0.693147180559945,0,1,0.5,0,1,0.5,0,0,1,3.12192809488736,1,0.8,-3.01,0.765000000000001,-4.13511186080001,120.205,3.1291,11.6307,0.5,2,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,4705060,FALSE,0,0,0,0,0,0
0,0,540,4.3,5,0.7,FALSE,79,3.81052631578947,1.18947368421053,1.33962591984625,190,7.31986492980897,5.8664680569333,3.2188758248682,1.30594900849858,0.189801699716714,0.00198675496688742,0.487252124645892,0.538243626062323,0.0028328611898017,0.0246575342465753,6.86396182895539,4.23619333086484,2.85490613589877,7.91428895184136,5.32699830028329,5.11045325779036,6.42271269693711,82.0199138810198,8.23873560344571,7.33382083852691,0.0141643059490085,14.12,0,0,2.52,1,0.0339943342776204,0.164305949008499,0.801699716713881,0.937677053824363,0.028328611898017,0.104815864022663,0.084985835694051,0.209631728045326,0.18413597733711,0.0198300283286119,0.0141643059490085,0.58356940509915,0.0056657223796034,0.0226628895184136,0.0028328611898017,0.0056657223796034,0.0141643059490085,0.0198300283286119,0.0651558073654391,0.0141643059490085,0.0113314447592068,0.0368271954674221,0.533333333333333,0.084985835694051,0.0453257790368272,0.517375283446712,0.163506235827664,5,5,1,3611838,FALSE,0,0,0,0,0,0
0,0,1409,4.2,5,0.8,FALSE,119,3.91063829787234,1.08936170212766,1.40986058026741,235,7.48493028328966,5.98896141688986,3.40119738166216,1.40350877192982,0.278195488721804,0.00168444693992139,0.536340852130326,0.531328320802005,0.0025062656641604,0.0231481481481481,7.1758459292595,4.24108353857382,3.03377586504792,8.22726817042607,6.15840350877193,5.6181954887218,7.43920915153984,74.5986578947368,8.74582689384129,8.68888676691729,0.025062656641604,13.3,0,0,2.2,0.566666666666667,0.0451127819548872,0.180451127819549,0.774436090225564,0.927318295739348,0.0275689223057644,0.0977443609022556,0.087719298245614,0.228070175438596,0.192982456140351,0.0075187969924812,0.012531328320802,0.606516290726817,0.0075187969924812,0.0275689223057644,0.0050125313283208,0.0150375939849624,0.0150375939849624,0.025062656641604,0.0676691729323308,0.012531328320802,0.012531328320802,0.0426065162907268,0.459459459459459,0.0927318295739348,0.0426065162907268,0.489710884353742,0.193259637188209,1248,1315,0.949049429657795,36759,TRUE,0,0,0,0,0,1
